코드,종목명,시장,시가총액
005930,삼성전자,KOSPI,1737806316228000
000660,SK하이닉스,KOSPI,1426830134730000
402340,SK스퀘어,KOSPI,151752143900000
005935,삼성전자우,KOSPI,151246971765500
009150,삼성전기,KOSPI,131087436480000
005380,현대차,KOSPI,119578535344000
373220,LG에너지솔루션,KOSPI,87867000000000
032830,삼성생명,KOSPI,71400000000000
329180,HD현대중공업,KOSPI,65180920725000
028260,삼성물산,KOSPI,63245356590000
000270,기아,KOSPI,60435932090400
207940,삼성바이오로직스,KOSPI,58187725407000
034020,두산에너빌리티,KOSPI,56241268618800
105560,KB금융,KOSPI,53132222553200
012450,한화에어로스페이스,KOSPI,51821218005000
012330,현대모비스,KOSPI,49449257735000
055550,신한지주,KOSPI,45566818656000
034730,SK,KOSPI,40456508274000
006400,삼성SDI,KOSPI,38963103755000
068270,셀트리온,KOSPI,36148401668400
066570,LG전자,KOSPI,35427408765000
035420,NAVER,KOSPI,35061288936000
267260,HD현대일렉트릭,KOSPI,34352919655000
010120,LS ELECTRIC,KOSPI,34050000000000
042660,한화오션,KOSPI,32418537085200
086790,하나금융지주,KOSPI,31566009407400
298040,효성중공업,KOSPI,31041420292000
005490,POSCO홀딩스,KOSPI,27972259031000
006800,미래에셋증권,KOSPI,27530690496000
000810,삼성화재,KOSPI,27190311057000
009540,HD한국조선해양,KOSPI,26221439478000
042700,한미반도체,KOSPI,25162420800000
011070,LG이노텍,KOSPI,24897796564000
000150,두산,KOSPI,24792761385000
010130,고려아연,KOSPI,23878676536000
015760,한국전력,KOSPI,22821822937350
010140,삼성중공업,KOSPI,22132000000000
017670,SK텔레콤,KOSPI,22123375459000
051910,LG화학,KOSPI,22095403359000
316140,우리금융지주,KOSPI,21361620912000
064350,현대로템,KOSPI,19885725784600
033780,KT&G,KOSPI,18779311490400
267250,HD현대,KOSPI,18681864602500
307950,현대오토에버,KOSPI,18072404138000
138040,메리츠금융지주,KOSPI,17738810938000
011200,HMM,KOSPI,17091472016400
096770,SK이노베이션,KOSPI,17091236866800
018260,삼성에스디에스,KOSPI,16945738200000
272210,한화시스템,KOSPI,16681582048700
196170,알테오젠,KOSDAQ GLOBAL,16638559501500
079550,LIG디펜스앤에어로스페이스,KOSPI,16610000000000
035720,카카오,KOSPI,16566170925000
024110,기업은행,KOSPI,16307359021050
003670,포스코퓨처엠,KOSPI,16286052882000
003550,LG,KOSPI,16285799376000
247540,에코프로비엠,KOSDAQ GLOBAL,15789832047600
278470,에이피알,KOSPI,15274767240000
086280,현대글로비스,KOSPI,14212500000000
000720,현대건설,KOSPI,14053097543000
086520,에코프로,KOSDAQ GLOBAL,13944210810400
030200,KT,KOSPI,13709979664000
047810,한국항공우주,KOSPI,13061664338000
071050,한국금융지주,KOSPI,12343307228000
010950,S-Oil,KOSPI,12158941536000
006260,LS,KOSPI,11746800000000
323410,카카오뱅크,KOSPI,11450890488000
277810,레인보우로보틱스,KOSDAQ,11290717356000
005940,NH투자증권,KOSPI,10565610540850
259960,크래프톤,KOSPI,10450028914500
0126Z0,삼성에피스홀딩스,KOSPI,10114959418500
